Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;236;35.201197847;23296.289728997013;3757.0;Split(3097,479,3058,[C(374),C(-374)],MaxDepth(3));-159.93859516429544;-159.67876517811416;NaN
0;237;690.93545851;23987.225187507014;3761.0;Clone(4127,465,[{5084:4127}],MaxDepth(3));-159.8418234636164;-159.58068982791795;NaN
0;238;79.098369296;24066.323556803014;3769.0;Split(2687,1291,3635,[C(467),C(-467)],MaxDepth(3));-159.72418162583207;-159.468856873897;NaN
0;239;67.323907567;24133.647464370013;3777.0;Split(2783,715,3723,[C(243),C(-243)],MaxDepth(3));-159.60677190833727;-159.3531475351484;NaN
0;240;67.924142884;24201.571607254013;3779.0;Clone(3876,482,[{4262:3878}],MaxDepth(3));-159.56774045792002;-159.31599590100652;NaN
0;241;45.145728613;24246.71733586701;3784.0;Split(4170,929,528,[C(453),C(-453)],MaxDepth(3));-159.50989170265333;-159.25592973713205;NaN
0;242;94.125710439;24340.84304630601;3786.0;Clone(3389,1318,[{4693:3391}],MaxDepth(3));-159.4716251154689;-159.21729353636988;NaN
0;243;38.537420232;24379.380466538012;3812.0;Split(3053,623,2970,[C(161),C(-161)],MaxDepth(3));-158.95746410758505;-158.6961141049967;NaN
0;244;298.121740478;24677.502207016012;3814.0;Clone(804,616,[{5157:804}],MaxDepth(3));-158.9161824298253;-158.65038727713792;NaN
0;245;34.049389006000006;24711.55159602201;3817.0;Split(2451,565,882,[C(105),C(-105)],MaxDepth(3));-158.85943043729495;-158.59680996071307;NaN
0;246;31.627612787;24743.17920880901;3837.0;Split(3082,1231,3028,[C(682),C(-682)],MaxDepth(3));-158.48176958399048;-158.21843305380978;NaN
0;247;461.98187417900004;25205.161082988012;3862.0;Split(4354,443,4340,[C(296),C(-296)],MaxDepth(3));-158.23692210214514;-157.9729800580336;NaN
0;248;71.050889821;25276.21197280901;3887.0;Split(4301,219,4287,[C(180),C(-180)],MaxDepth(3));-157.99319803078313;-157.72585682707265;NaN
0;249;69.460690485;25345.67266329401;3890.0;Split(3593,781,3587,[C(383),C(-383)],MaxDepth(3));-157.9371468801261;-157.6721338008238;NaN
0;250;73.34543187300001;25419.01809516701;3903.0;Split(2865,123,2562,[C(176),C(-176)],MaxDepth(3));-157.77162705586932;-157.5143875880136;NaN
0;251;211.20624217600002;25630.22433734301;3918.0;Split(4177,939,4167,[C(456),C(-456)],MaxDepth(3));-157.66461107130607;-157.40797621817535;NaN
0;252;133.547062364;25763.77139970701;3921.0;Split(2179,1013,402,[C(649),C(-649)],MaxDepth(3));-157.61111163742825;-157.3552068358491;NaN
0;253;34.766591875;25798.53799158201;3923.0;Clone(3232,594,[{4202:3234}],MaxDepth(3));-157.57545876306426;-157.31857224819015;NaN
0;254;33.351137640000005;25831.889129222007;3926.0;Split(3673,797,3667,[C(439),C(-439)],MaxDepth(3));-157.5222931209682;-157.26544363398645;NaN
0;255;30.735295021000002;25862.624424243008;3947.0;Split(2934,1063,2732,[C(462),C(-462)],MaxDepth(3));-157.1746428751382;-156.9259058028316;NaN
0;256;137.15017818;25999.774602423007;3972.0;Split(4061,1051,4047,[C(516),C(-516)],MaxDepth(3));-156.94933553523882;-156.6846310923958;NaN
